wavenumber,transmittance
2191.587533146, 0.976199915
2191.46700371, 0.974600173
2191.346474275, 0.973700166
2191.22594484, 0.974000052
2191.105415405, 0.975099983
2190.984880908, 0.96920013
2190.864351473, 0.937100105
2190.743822037, 0.930299896
2190.623292602, 0.955700022
2190.502763167, 0.966199874
2190.382233732, 0.973599855
2190.261704297, 0.983000124
2190.141174862, 0.984699828
2190.020645427, 0.9723
2189.900115991, 0.957599998
2189.779586556, 0.958100157
2189.659057121, 0.97130003
2189.538527686, 0.982799852
2189.417803716, 0.983800169
2189.297274281, 0.977500119
2189.176744846, 0.977999929
2189.056215411, 0.980300102
2188.935685976, 0.976800036
2188.815156541, 0.975999991
2188.694627106, 0.972699848
2188.574097671, 0.976500149
2188.453568235, 0.983499935
2188.3330388, 0.98429998
2188.212509365, 0.981499996
2188.09197993, 0.976700074
2187.971450495, 0.972699848
2187.85092106, 0.970899834
2187.73047021, 0.9723
2187.609940775, 0.969500016
2187.48941134, 0.976600112
2187.368881904, 0.987199925
2187.248352469, 0.984900101
2187.127823034, 0.97699996
2187.007293599, 0.975099983
2186.886764164, 0.973499893
2186.766234729, 0.971699879
2186.645705294, 0.973399931
2186.525175859, 0.969300092
2186.404646423, 0.96450017
2186.284116988, 0.973499893
2186.163587553, 0.972699848
2186.043136703, 0.871000079
2185.922607268, 0.80049998
2185.802077833, 0.878500023
2185.681548398, 0.947599957
2185.561018963, 0.966500108
2185.440489528, 0.96969994
2185.319960092, 0.976199915
2185.199430657, 0.978700012
2185.078901222, 0.969599978
2184.958371787, 0.97069991
2184.837842352, 0.974499863
2184.717312917, 0.978799974
2184.596783482, 0.978400126
2184.476254047, 0.982900162
2184.355530077, 0.978199853
2184.235000642, 0.975299908
2184.114471207, 0.981400034
2183.993941772, 0.979899906
2183.873412336, 0.968300123
2183.752882901, 0.957300112
2183.632353466, 0.963000041
2183.511824031, 0.969899864
2183.391294596, 0.974600173
2183.270765161, 0.973499893
2183.150235726, 0.974100014
2183.029706291, 0.975900029
2182.909176855, 0.971399993
2182.78864742, 0.933700001
2182.66846969, 0.905499891
2182.547940255, 0.942500148
2182.42741082, 0.971799841
2182.306881385, 0.974100014
2182.18635195, 0.973200007
2182.065822514, 0.980400065
2181.945293079, 0.989899947
2181.824763644, 0.990300144
2181.704234209, 0.986299918
2181.583704774, 0.978099891
2181.463175339, 0.973299969
2181.342645904, 0.969999827
2181.222116469, 0.974900059
2181.101587033, 0.977800005
2180.980673591, 0.981400034
2180.860144156, 0.983399972
2180.739614721, 0.975199946
2180.619085286, 0.971200068
2180.498555851, 0.970599947
2180.378026416, 0.969799902
2180.257496981, 0.975999991
2180.136967546, 0.98020014
2180.01643811, 0.97539987
2179.895908675, 0.976899998
2179.77537924, 0.975499832
2179.654849805, 0.973299969
2179.53432037, 0.978400126
2179.413790935, 0.988400167
2179.2932615, 0.988400167
2179.173083769, 0.986299918
2179.052554334, 0.986499842
2178.932024899, 0.977299846
2178.811495464, 0.976899998
2178.690966029, 0.976099953
2178.570436594, 0.975299908
2178.449907159, 0.975999991
2178.329377724, 0.975600142
2178.208848288, 0.971499955
2178.088318853, 0.974000052
2177.967789418, 0.973700166
2177.847259983, 0.974199976
2177.726730548, 0.926200057
2177.606201113, 0.789699893
2177.485287671, 0.785700016
2177.364758236, 0.905399929
2177.244228801, 0.963600162
2177.123699366, 0.979200171
2177.00316993, 0.980699951
2176.882640495, 0.980999837
2176.76211106, 0.975999991
2176.641581625, 0.975199946
2176.52105219, 0.976500149
2176.400522755, 0.971499955
2176.27999332, 0.972599886
2176.159463884, 0.975700104
2176.038934449, 0.969300092
2175.918405014, 0.96660007
2175.797875579, 0.979099861
2175.677341082, 0.978099891
2175.556811647, 0.964199935
2175.436282211, 0.959799861
2175.315752776, 0.967799964
2175.195223341, 0.971900151
2175.074693906, 0.974499863
2174.954164471, 0.972599886
2174.833635036, 0.971900151
2174.713105601, 0.976700074
2174.592576166, 0.986499842
2174.47204673, 0.958799892
2174.351517295, 0.885800043
2174.23098786, 0.892100093
2174.11081013, 0.942700073
2173.990280695, 0.960000134
2173.86975126, 0.968500047
2173.749221825, 0.972200038
2173.628692389, 0.973499893
2173.508162954, 0.975099983
2173.387633519, 0.978799974
2173.267104084, 0.968899895
2173.146574649, 0.965500139
2173.026045214, 0.972100076
2172.905515779, 0.976199915
2172.784986344, 0.979600019
2172.664456908, 0.983200048
2172.543927473, 0.986800077
2172.423370799, 0.984399942
2172.302841363, 0.98169992
2172.182311928, 0.978300164
2172.061782493, 0.980400065
2171.941253058, 0.979500057
2171.820723623, 0.977700043
2171.700194188, 0.976199915
2171.579664753, 0.974800097
2171.459135317, 0.975099983
2171.338605882, 0.97539987
2171.218076447, 0.981400034
2171.097547012, 0.982200079
2170.977017577, 0.974600173
2170.856488142, 0.967199843
2170.735958707, 0.966899957
2170.615429272, 0.967700002
2170.494705302, 0.976399839
2170.374175867, 0.98009983
2170.253646432, 0.978300164
2170.133116997, 0.978199853
2170.012587561, 0.974499863
2169.892058126, 0.971599917
2169.771528691, 0.972100076
2169.650999256, 0.977299846
2169.530469821, 0.975499832
2169.409940386, 0.980500027
2169.289410951, 0.976099953
2169.168881516, 0.962199996
2169.04835208, 0.851299883
2168.927822645, 0.714399872
2168.807288148, 0.791800142
2168.686758713, 0.919999968
2168.566229278, 0.95560006
2168.445699843, 0.968799933
2168.325170407, 0.972599886
2168.204640972, 0.978799974
2168.084111537, 0.974900059
2167.963582102, 0.971100106
2167.843052667, 0.974900059
2167.722523232, 0.981400034
2167.601993797, 0.979200171
2167.481464362, 0.968699971
2167.360934926, 0.965199904
2167.240484076, 0.971399993
2167.119954641, 0.974299938
2166.999425206, 0.970899834
2166.878895771, 0.971200068
2166.758366336, 0.973399931
2166.637836901, 0.975000021
2166.517307466, 0.976199915
2166.396778031, 0.977299846
2166.276248595, 0.981499996
2166.15571916, 0.985399911
2166.035189725, 0.980799913
2165.91466029, 0.965700063
2165.794130855, 0.891300048
2165.67360142, 0.846300037
2165.55315057, 0.908800034
2165.432621135, 0.959100126
2165.3120917, 0.974600173
2165.191562264, 0.982499965
2165.071032829, 0.988099933
2164.950503394, 0.980400065
2164.829973959, 0.963900049
2164.709444524, 0.961800148
2164.588915089, 0.964700094
2164.468385654, 0.971499955
